"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.258584206,     0.09749584175,      0.1335926574,       3.326145598,      -4.900226181
          0,           0,           1,      -2.301232213,      0.1418916968,      0.2006075339,       3.187548824,      -5.225366342
          0,           0,           2,      -2.633698393,     -0.2622918931,     0.04716926288,       2.846753452,      -5.747553508
          0,           0,           3,      -2.714023815,      -0.434993752,     -0.4182385183,       2.832211437,      -6.688992654
          0,           0,           4,      -3.188767484,     -0.7461335188,     -0.6890502613,       2.374447267,       -6.92395276
          0,           0,           5,      -3.338933852,     -0.7763388916,      -1.103355929,       2.086247308,      -7.121511874
          0,           0,           6,      -3.481971993,     -0.9050738317,      -1.268399671,        1.87165855,      -7.196833374
          0,           0,           7,      -3.437005318,     -0.9659013638,      -1.082765668,       1.981192526,      -7.294066347
          0,           0,           8,      -3.656701448,      -1.065054385,      -1.296427601,       1.699295664,      -7.326790788
          0,           0,           9,      -3.549724353,     -0.9882405601,      -1.249211077,       1.889118695,      -7.393922345
          0,           0,          10,      -3.768458291,      -1.106608416,      -1.505041176,       1.568258932,      -7.406327112
          0,           0,          11,      -3.750765518,      -1.096890653,      -1.631819092,       1.633608754,      -7.455701427
          0,           0,          12,      -3.888673009,      -1.211491344,       -1.70449721,       1.316696787,      -7.455911745
          0,           0,          13,      -3.870634616,       -1.27019874,      -1.499532067,       1.419528071,      -7.496622285
          0,           0,          14,       -3.94965438,      -1.288447108,      -1.656846176,       1.214426917,      -7.491716645
          0,           0,          15,       -3.92483683,      -1.288314348,      -1.617962552,       1.368375565,      -7.527129597
          0,           0,          16,      -4.009072329,       -1.31813662,      -1.815023856,       1.118168042,      -7.518463393
          0,           0,          17,      -4.029119106,      -1.343307692,      -1.876613192,       1.112237827,      -7.550116199
          0,           0,          18,      -4.067208104,      -1.369684103,      -1.945858809,      0.9580879615,      -7.537836538
          0,           0,          19,      -4.050920407,       -1.38711131,      -1.832119196,         1.1449878,      -7.566014526
          0,           0,          20,      -4.102415803,      -1.405705202,       -1.97428717,      0.9515597047,      -7.550989554
          0,           0,          21,      -4.089867255,      -1.407898652,      -1.960333255,       1.111814418,      -7.576127773
          0,           0,          22,      -4.143643956,      -1.435465294,      -2.107842483,      0.8590052925,      -7.559053034
          0,           0,          23,       -4.15104304,      -1.452622474,      -2.095843838,      0.9118394597,      -7.582156659
          0,           0,          24,      -4.178321539,      -1.469966308,      -2.162732148,      0.7311604309,      -7.564315993
          0,           0,          25,      -4.180000228,      -1.488270225,      -2.079454089,      0.8385991545,      -7.586068762
          0,           0,          26,      -4.203630244,       -1.49758635,      -2.179175814,      0.6839049572,      -7.567750074
          0,           0,          27,      -4.208797316,       -1.51261939,      -2.154724756,      0.7710892729,      -7.588879257
          0,           0,          28,      -4.230206133,      -1.521961011,      -2.245713835,      0.6171779235,      -7.570559282
          0,           0,          29,      -4.238941895,      -1.537171787,      -2.224863857,       0.678939858,      -7.591000978
          0,           0,          30,      -4.255929355,       -1.54528955,      -2.291898266,      0.5658882954,      -7.572535319
          0,           0,          31,      -4.262370455,      -1.558329424,      -2.251282371,      0.6649311227,      -7.592627525
