"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,       "CD"       ,       "CL"       ,   "sound_speed"  
          81,     0.01407076478,      -2.931589437,                 0,                 0,       342.7320199
          82,     0.01403210376,      -2.959737689,                 0,                 0,       342.7304144
          83,     0.01402991324,      -2.990870736,                 0,                 0,       342.7285708
          84,     0.01400966249,      -3.024537436,                 0,                 0,       342.7265049
          85,     0.01397837107,      -3.060321988,                 0,                 0,       342.7242324
          86,     0.01394250703,      -3.097843603,                 0,                 0,       342.7217698
          87,     0.01395256605,      -3.136654845,                 0,                 0,       342.7191342
          88,     0.01398476981,      -3.176377212,                 0,                 0,       342.7163451
          89,      0.0140154857,      -3.216674353,                 0,                 0,       342.7134236
          90,     0.01404770014,      -3.257252639,                 0,                 0,       342.7103919
          91,     0.01408661101,      -3.297801219,                 0,                 0,       342.7072716
          92,     0.01408608724,      -3.338055427,                 0,                 0,       342.7040853
          93,     0.01409621397,      -3.377780433,                 0,                 0,       342.7008537
          94,     0.01414359594,      -3.416771098,                 0,                 0,       342.6975937
          95,     0.01418736681,       -3.45484897,                 0,                 0,       342.6943175
          96,     0.01421885066,      -3.491862695,                 0,                 0,       342.6910329
          97,     0.01424239606,      -3.527682851,                 0,                 0,       342.6877432
          98,     0.01426424156,      -3.562206117,                 0,                 0,       342.6844482
          99,     0.01428803915,      -3.595350178,                 0,                 0,       342.6811447
         100,     0.01430683876,      -3.627045976,                 0,                 0,       342.6778275
         101,     0.01432657074,      -3.657235674,                 0,                 0,       342.6744892
         102,     0.01435000888,      -3.685866283,                 0,                 0,       342.6711212
         103,     0.01437331264,      -3.712894911,                 0,                 0,        342.667715
         104,     0.01437458871,      -3.738283939,                 0,                 0,       342.6642634
         105,     0.01434246618,      -3.762002295,                 0,                 0,       342.6607611
         106,     0.01430977024,      -3.784034232,                 0,                 0,       342.6572052
         107,     0.01430748626,      -3.804383111,                 0,                 0,       342.6535951
         108,     0.01432075519,      -3.823069819,                 0,                 0,       342.6499329
         109,     0.01428961015,      -3.840131827,                 0,                 0,       342.6462238
         110,     0.01425922086,      -3.855623365,                 0,                 0,        342.642477
         111,     0.01422872246,      -3.869623299,                 0,                 0,        342.638704
         112,      0.0141993028,      -3.882227748,                 0,                 0,       342.6349184
         113,     0.01416925979,      -3.893544094,                 0,                 0,       342.6311355
         114,     0.01414064276,      -3.903689751,                 0,                 0,       342.6273712
         115,     0.01411293118,      -3.912783493,                 0,                 0,       342.6236414
         116,     0.01409588391,      -3.920950586,                 0,                 0,       342.6199614
         117,     0.01412197472,      -3.928315306,                 0,                 0,       342.6163454
         118,      0.0141346993,      -3.934995566,                 0,                 0,       342.6128059
         119,     0.01411106514,      -3.941110557,                 0,                 0,       342.6093541
         120,     0.01408651088,      -3.946769148,                 0,                 0,       342.6059989
         121,     0.01406970261,      -3.952070383,                 0,                 0,       342.6027471
         122,     0.01405491722,      -3.957105421,                 0,                 0,       342.5996033
         123,     0.01403346385,      -3.961953026,                 0,                 0,       342.5965697
         124,     0.01404108574,      -3.966680924,                 0,                 0,       342.5936467
         125,     0.01403462713,      -3.971347815,                 0,                 0,       342.5908326
         126,     0.01403352691,      -3.975998694,                 0,                 0,       342.5881243
         127,     0.01401597436,      -3.980671745,                 0,                 0,       342.5855174
         128,     0.01399533347,      -3.985396499,                 0,                 0,       342.5830066
         129,     0.01402155707,      -3.990189935,                 0,                 0,       342.5805861
         130,     0.01405604442,      -3.995053554,                 0,                 0,       342.5782504
         131,     0.01407131984,      -4.000015916,                 0,                 0,       342.5759941
         132,     0.01404736405,      -4.005070249,                 0,                 0,       342.5738127
         133,     0.01402824343,      -4.010220517,                 0,                 0,       342.5717024
         134,     0.01401188977,      -4.015465816,                 0,                 0,       342.5696606
         135,      0.0139964744,      -4.020809018,                 0,                 0,        342.567686
         136,     0.01398862861,      -4.026243744,                 0,                 0,       342.5657782
         137,     0.01397243928,      -4.031764622,                 0,                 0,       342.5639379
         138,     0.01398184978,      -4.037384821,                 0,                 0,       342.5621668
         139,     0.01398510229,      -4.043096928,                 0,                 0,        342.560467
         140,     0.01396501362,      -4.048911029,                 0,                 0,       342.5588414
         141,     0.01394760085,      -4.054795238,                 0,                 0,        342.557293
         142,     0.01392536448,      -4.060755943,                 0,                 0,       342.5558251
